depot,latest_time_must_be_delivered
1,480
2,40
3,420
4,420
5,50
6,100
7,60
8,420
9,130
10,420
11,420
12,420
13,420
14,420
15,420
16,420
17,420
18,420
19,420
20,420
21,420
22,420
23,420
24,420
25,420
26,420
27,420
28,420
29,420
30,420
31,420
32,420
33,420
34,420
35,420
36,420
37,420
38,420
39,420
40,420
41,420
42,420
43,420
44,420
45,420
46,420
47,420
48,420
49,420
50,420
51,420
52,420
53,420
54,420
55,420
56,420
57,420
58,420
59,420
60,420
61,420
62,420
63,420
64,420
65,420
66,420
